threshold,tp,fn,fp,tn,precision,recall,f1,accuracy,letter
0.30000000000000004,88,0,5,37,0.946236559139785,1.0,0.9723756906077349,0.9615384615384616,f
0.3500000000000001,88,0,4,38,0.9565217391304348,1.0,0.9777777777777777,0.9692307692307692,f
0.40000000000000013,88,0,4,38,0.9565217391304348,1.0,0.9777777777777777,0.9692307692307692,f
0.45000000000000007,88,0,3,39,0.967032967032967,1.0,0.9832402234636871,0.9769230769230769,f
0.5000000000000001,88,0,1,41,0.9887640449438202,1.0,0.9943502824858756,0.9923076923076923,f
0.5500000000000002,88,0,0,42,1.0,1.0,1.0,1.0,f
0.6000000000000002,87,1,0,42,1.0,0.9886363636363636,0.9942857142857142,0.9923076923076923,f
0.6500000000000001,87,1,0,42,1.0,0.9886363636363636,0.9942857142857142,0.9923076923076923,f
0.7000000000000002,85,3,0,42,1.0,0.9659090909090909,0.9826589595375723,0.9769230769230769,f
0.7500000000000002,84,4,0,42,1.0,0.9545454545454546,0.9767441860465117,0.9692307692307692,f
0.8000000000000002,83,5,0,42,1.0,0.9431818181818182,0.9707602339181286,0.9615384615384616,f
0.8500000000000002,83,5,0,42,1.0,0.9431818181818182,0.9707602339181286,0.9615384615384616,f
0.9000000000000002,70,18,0,42,1.0,0.7954545454545454,0.8860759493670886,0.8615384615384616,f
0.9500000000000003,32,56,0,42,1.0,0.36363636363636365,0.5333333333333333,0.5692307692307692,f
0.1,87,3,19,54,0.8207547169811321,0.9666666666666667,0.8877551020408163,0.8650306748466258,g
0.15000000000000002,87,3,19,54,0.8207547169811321,0.9666666666666667,0.8877551020408163,0.8650306748466258,g
0.20000000000000004,87,3,19,54,0.8207547169811321,0.9666666666666667,0.8877551020408163,0.8650306748466258,g
0.25000000000000006,86,4,18,55,0.8269230769230769,0.9555555555555556,0.88659793814433,0.8650306748466258,g
0.30000000000000004,86,4,17,56,0.8349514563106796,0.9555555555555556,0.8911917098445595,0.8711656441717791,g
0.3500000000000001,86,4,16,57,0.8431372549019608,0.9555555555555556,0.8958333333333333,0.8773006134969326,g
0.40000000000000013,86,4,16,57,0.8431372549019608,0.9555555555555556,0.8958333333333333,0.8773006134969326,g
0.45000000000000007,86,4,16,57,0.8431372549019608,0.9555555555555556,0.8958333333333333,0.8773006134969326,g
0.5000000000000001,83,7,16,57,0.8383838383838383,0.9222222222222223,0.8783068783068783,0.8588957055214724,g
0.5500000000000002,83,7,15,58,0.8469387755102041,0.9222222222222223,0.8829787234042554,0.8650306748466258,g
0.6000000000000002,82,8,13,60,0.8631578947368421,0.9111111111111111,0.8864864864864865,0.8711656441717791,g
0.6500000000000001,82,8,12,61,0.8723404255319149,0.9111111111111111,0.891304347826087,0.8773006134969326,g
0.7000000000000002,82,8,9,64,0.9010989010989011,0.9111111111111111,0.9060773480662984,0.8957055214723927,g
0.7500000000000002,81,9,5,68,0.9418604651162791,0.9,0.9204545454545455,0.9141104294478528,g
0.8000000000000002,74,16,3,70,0.961038961038961,0.8222222222222222,0.8862275449101796,0.8834355828220859,g
0.8500000000000002,63,27,0,73,1.0,0.7,0.8235294117647058,0.8343558282208589,g
0.9000000000000002,43,47,0,73,1.0,0.4777777777777778,0.6466165413533834,0.7116564417177914,g
0.9500000000000003,19,71,0,73,1.0,0.2111111111111111,0.3486238532110092,0.5644171779141104,g
0.1,78,0,24,44,0.7647058823529411,1.0,0.8666666666666666,0.8356164383561644,h
0.15000000000000002,78,0,23,45,0.7722772277227723,1.0,0.8715083798882681,0.8424657534246576,h
